id,name,circles,range,jail_type,jail_address,prisoner_capacity,visitor_capacity,jail_superitendent_name,jail_superitendent_name,sup_contact_num,jailer_name,jailer_num,
1,"Circle Jail,Baripada",3,cuttack,circlejail,Baripada,917,100,SRI MANORANJAN PRATIHARI,SRI MANORANJAN PRATIHARI,6792260633, ,7841875418,
3,"District Jail, Balasore",3,cuttack,districtjail,Balasore,530,100,MANASWINI NAYAK,MANASWINI NAYAK,6782233238, ,, 
4,"District Jail, Keonjhar",3,sambalpur,districtjail,Keonjhar,607,50,SRI UPENDRA KUMAR JENA,SRI UPENDRA KUMAR JENA,6766255419, ,, 
5,"District Jail, Bhadrak",3,cuttack,districtjail,Bhadrak,201,70,DASAMI BAGH,DASAMI BAGH,6683223070, ,, 
6,"Sub Jail, Anandapur",3,sambalpur,subjail,Anandapur,77,30,MADHUSMITA SETHY,MADHUSMITA SETHY,6731212269, ,, 
7,"Sub Jail, Barbil",3,sambalpur,subjail,Barbil,206,30,SUDHANSHU BEURA,SUDHANSHU BEURA,6767277663, ,, 
8,"Sub Jail, Champua",3,sambalpur,subjail,Champua,192,30,MADAN MOHAN MARNDI,MADAN MOHAN MARNDI,6767240217, ,, 
9,"Sub Jail, Jaleswar",3,cuttack,subjail,Jaleswar,206,30,PARAKASH CHANDRA RANA,PARAKASH CHANDRA RANA,6781223201, ,, 
10,"Sub Jail, Rairangpur",3,cuttack,subjail,Rairangpur,146,30,SRI ANJAN KUMAR PANDA,SRI ANJAN KUMAR PANDA,6794222067, ,, 
11,"Sub Jail, Karanjia",3,cuttack,subjail,Karanjia,125,30,PRADEEPTA KUMAR MAHALIK,PRADEEPTA KUMAR MAHALIK,6796220259, ,, 
12,"Sub Jail, Nilagiri",3,cuttack,subjail,Nilagiri,42,20,MANASWINI NAYAK,MANASWINI NAYAK,6782233238, ,, 
13,"Sub Jail, Soro",3,cuttack,subjail,SORO,206,30,PRIYAMBADA PANDA,PRIYAMBADA PANDA,6788222442, ,, 
14,"Sub Jail, Udala",3,cuttack,subjail,Udala,89,30,AJAY KUMAR GURU,AJAY KUMAR GURU,6795232249, ,, 
15,"Circle Jail, Sambalpur",2,sambalpur,circlejail,Sambalpur,704,150,SRI ANIL KUMAR SAHOO,SRI ANIL KUMAR SAHOO,6632411968, ,, 
16,"District Jail, Sundargarh",2,sambalpur,districtjail,SUNDARGARH,429,30,Sri Sanjib Kumar Deep,Sri Sanjib Kumar Deep,6622272246, ,, 
17,"District Jail, Bolangir",2,sambalpur,districtjail,Bolangir,392,100,SRI SARBESWAR SAHOO,SRI SARBESWAR SAHOO,6652232443, ,, 
18,"District Jail, Bargarh",2,sambalpur,districtjail,Bargarh,331,30,ANJALI PATEL,ANJALI PATEL,6646232802, ,, 
19,"District Jail, Jharsuguda",2,sambalpur,districtjail,Jharsuguda,324,100,SRI SATYANARAYAN BEHERA,SRI SATYANARAYAN BEHERA,6645270046, ,, 
20,"Special Jail, Rourkela",2,sambalpur,specialjail,Rourkela,812,50,JEEBAN SINGH MUNDA,JEEBAN SINGH MUNDA,6612401695, ,, 
21,"Special Jail, Bonaigarh",2,sambalpur,specialjail,Bonaigarh,238,30,LAXMIKANTA DHANGADAMAJHI,LAXMIKANTA DHANGADAMAJHI,6626244424, ,, 
22,NBN Sambalpur,2, ,nbn, , , , , , , ,, 
23,"Sub Jail, Rairakhol",2,sambalpur,subjail,Rairakhol,58,10,UPENDRA KUMAR JENA,UPENDRA KUMAR JENA,6644253028, ,, 
24,"Sub Jail, Kuchinda",2,sambalpur,subjail,Kuchinda,69,10,Chinmaya Patra,Chinmaya Patra,6642220286, ,, 
